Site,Treatment,YEAR,Depth,Water,LITTER,DEAD,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRAWE,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CAREXSP,CERDEMER,CLAMARIS,CORSTOLO,DECVERTI,DULARUND,ELEPALUS,ELOCANAD,EleocharisSp,EQUFLUVI,Fern,FONTSP,FRAVIRGI,GALLABRA,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,JUNBREVI,JUNSP,LEEORYZO,LEMMINOR,LYSTHYRS,LYTHSP,LYTSALIC,MILLE,MYRSIBRI,MYRISP,NAJASP,Nitella,NUPVARIE,NYMODORA,PHRAUSTR,POLAMPHI,POLYGONSPP,PONCORD,POTGRAMI,POTOSP,RosaSP,SAGSPP,SAGLATIF,SCIACUTU,SCIFLUVI,SCIPUNGE,SCIVALID,SPAEURYE,SPARSP,SPIPOLYR,SOLOSP,SolidagoSP,THEPALUS,TYPSPP,TYPANGUS,TYPGLAUC,TYPLATIF,UTRINTER,UTRVULGA,UNK,Vetch sp,ZIZPALUS
UNM5b,Reference,2017,28,25,0,25,10,0,0,25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM5c,Reference,2017,33,32.83255,0,24.87315,9.949259,0,0,24.87315,0,0,0,0,0,0,7.461944,0,0,0,0.00995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT1a,Reference,2017,36,25.64103,0,51.28205,5.128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38462,0,0,0,0,0,0,0,0
UNT1b,Reference,2017,37,26.17801,0,34.55497,7.853403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.70681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.70681,0,0,0,0,0,0,0,0
UNT1c,Reference,2017,40,7.228915,0,63.61446,4.819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2409639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09639,0,0,0,0,0,0,0,0
UNT2a,Reference,2017,35,33.67347,0,51.02041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.30612,0,0,0,0,0,0,0,0
UNT2b,Reference,2017,37.5,23.80952,0,71.42857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,0,0
UNT2c,Reference,2017,37,34.375,0,34.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04167,0,0,0,0,0,0,0,0
UNT3a,Reference,2017,53,51.02041,0,15.30612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67347,0,0,0,0,0,0,0,0
UNT3b,Reference,2017,47,32.75434,0,9.925558,2.48139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.962779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.62779,0,0,0,0,0,0,0,0
UNT3c,Reference,2017,42,9.950249,0,49.75124,4.975124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83582,0,0,0,0,0,0,0,0
UNT4a,Reference,2017,45,23.58491,0,62.26415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15094,0,0,0,0,0,0,0,0
UNT4b,Reference,2017,44,15.625,0,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0
UNT4c,Reference,2017,43,23.58491,0,62.26415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15094,0,0,0,0,0,0,0,0
UNT5a,Reference,2017,56,34.375,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.375,0,0,0,0,0,0,0,0
UNT5b,Reference,2017,54,49.50495,0,24.75248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75248,0,0,0,0,0,0,0,0
UNT5c,Reference,2017,48,23.80952,0,47.61905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952,0,0,0,0,0,0,0,0
UNM1d,Reference,2018,17,9.367681,14.05152,0,14.05152,0,0,0.9367681,4.683841,0,0,0,0,30.91335,0,23.4192,0,0,0,2.34192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM1e,Reference,2018,14,14.21666,9.477775,9.477775,4.738887,0,0,14.21666,7.108331,0,0,0,0,31.27666,0,4.738887,0,0,0.00948,4.738887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM1f,Reference,2018,18,24.39024,24.39024,0,24.39024,0,0,4.878049,4.878049,0,0,0,0,14.63415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2d,Reference,2018,17,24.32853,24.32853,0.2432853,14.59712,0,0,9.731413,4.865706,0,0,0,0,4.865706,0,0,0,0,9.731413,0,0,0,0,0,0.00973,0,0,0,0,0,0,2.432853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.865706,0,0,0,0
UNM2e,Reference,2018,18,16.30258,27.17096,0,16.30258,0.0108684,0,0,16.30258,0,0,0,0,10.86838,0,0,0,0,7.607869,0,0,0,0,0,0,0,0,0,0,0,0,0,5.434192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2f,Reference,2018,15,4.761451,47.61451,0,4.761451,0.00952,0,4.761451,9.522903,0,0,0,0,4.761451,0,0,0,0,14.28435,2.380726,0,0,0,0,0,0,0,0,0,0,0,4.761451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.380726,0,0,0,0
UNM3d,Reference,2018,12,21.41328,21.41328,21.41328,12.84797,0.2141328,0,2.141328,0,0,0,0,0,0,0,0,0,0,12.84797,4.282655,0,0,0,0,2.141328,0,0,0,0,0,0,0.856531,0,0,0,0,0,0,0.2141328,0,0.2141328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
