"site_code","site_id","sample_year","location","treatment","shannon","pielou","richness","abundance"
"RPT2716","RPT27",2016,"Rondeau","Treatment",0.283324087255961,0.204375127824283,4,65.002496257
"RPT2816","RPT28",2016,"Rondeau","Treatment",0.23337172297123,0.168342113707153,4,84.93013972
"RPT2916","RPT29",2016,"Rondeau","Treatment",0.808230605600828,0.583015143297499,4,84.96503497
"RPT3016","RPT30",2016,"Rondeau","Treatment",0.348832095848169,0.503258334783057,2,89.955022489
"RPT3116","RPT31",2016,"Rondeau","Treatment",0.223718076054315,0.322756958880781,2,84.957521239
"RPT3216","RPT32",2016,"Rondeau","Treatment",0.72683295230616,0.349532765282261,8,80.049875312
"RPT3316","RPT33",2016,"Rondeau","Treatment",0.870775538980784,0.541043262528736,5,75.02497503
"RPT3416","RPT34",2016,"Rondeau","Treatment",1.46103332521582,0.702608510954124,8,89.87025948
"RPT3516","RPT35",2016,"Rondeau","Treatment",0.228547564262885,0.208032958142096,3,85.007496251
"RPT3616","RPT36",2016,"Rondeau","Treatment",0.00471727906502925,0.00680559511360702,2,90.004997502
"RPT3716","RPT37",2016,"Rondeau","Treatment",0.238190561088372,0.147996116686561,5,84.937655858
"RPT3816","RPT38",2016,"Rondeau","Treatment",0.00942963074504714,0.00858321979674836,3,90.00999001
"RPT3916","RPT39",2016,"Rondeau","Treatment",0.0313062198582333,0.016088214491009,7,80.01993024
"RPT4016","RPT40",2016,"Rondeau","Treatment",0.00523302390399619,0.0075496576351487,2,80.009995002
"LPC2117","LPC21",2017,"Long Point","Control",0.694944249472242,0.501296311203953,4,87.1900841
"LPC2217","LPC22",2017,"Long Point","Control",0.61084233206198,0.440629601615434,4,68.1274884
"LPC2317","LPC23",2017,"Long Point","Control",0.0750789835735005,0.0683398359438721,3,76.4150962
"LPC2417","LPC24",2017,"Long Point","Control",0.0342305497175501,0.0493842443244127,2,89.6039595
"LPC2517","LPC25",2017,"Long Point","Control",0.973648969102345,0.702339269645302,4,89.108915
"LPC2617","LPC26",2017,"Long Point","Control",0.815633752751987,0.506781744390766,5,84.7290596
"LPC2717","LPC27",2017,"Long Point","Control",0.499173216864592,0.454367042871657,3,84.6534695
"LPC2817","LPC28",2017,"Long Point","Control",0,NA,1,81.44796
"LPC2917","LPC29",2017,"Long Point","Control",0.410116233454073,0.591672656192251,2,90.51724
